# 	 seed 1993
# 	 elapsed time 48.39294481277466
# 	 reward -680.0
# 	 discounted reward -216.4296832637036
,X_29,Y_29
0,0,0
1,0,1
2,0,0
3,0,1
4,0,0
5,0,1
6,0,0
7,0,1
8,0,0
9,0,1
10,1,1
11,0,1
12,0,0
13,0,1
14,0,0
15,0,1
16,1,1
17,0,1
18,0,0
19,0,1
20,1,1
21,0,1
22,0,0
23,0,1
24,0,0
25,0,1
26,0,2
27,0,1
28,1,1
29,0,1
30,0,0
31,0,1
32,1,1
33,0,1
34,0,0
35,0,1
36,0,0
37,0,1
38,0,0
39,0,1
40,1,1
41,0,1
42,0,0
43,0,1
44,0,0
45,0,1
46,0,0
47,0,1
48,0,0
49,0,1
50,0,0
51,0,1
52,0,0
53,0,1
54,1,1
55,0,1
56,0,0
57,0,1
58,0,0
59,0,1
60,1,1
